Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,count,avg2017
E01001068,Croydon 042A,438264,419616,482917,506852,4,461912.25
E01001069,Croydon 040A,509901,520938,478964,533536,4,510834.75
E01001070,Croydon 040B,415000,424267,444215,463344,4,436706.5
E01001071,Croydon 042B,383390,372230,359219,356333,4,367793
E01001072,Croydon 042C,727375,743395,909344,872895,4,813252.25
E01001073,Croydon 037A,406918,373734,366475,377183,4,381077.5
E01001074,Croydon 041E,367165,383155,367232,365115,4,370666.75
E01001075,Croydon 040C,410135,406769,352739,336994,4,376659.25
E01001076,Croydon 036A,315379,301038,297357,306083,4,304964.25
E01001077,Croydon 032C,318204,337542,343833,343735,4,335828.5
E01001078,Croydon 032D,318700,,,333000,4,162925
E01001079,Croydon 036B,305495,298788,305545,324500,4,308582
E01001080,Croydon 036C,236000,275500,,,4,127875
E01001081,Croydon 036D,282747,291407,309997,313500,4,299412.75
E01001082,Croydon 032E,327111,324333,317400,305857,4,318675.25
E01001083,Croydon 003A,613143,596272,593541,593395,4,599087.75
E01001084,Croydon 002A,792115,804038,867045,829167,4,823091.25
E01001085,Croydon 004A,485000,500000,504167,498875,4,497010.5
E01001086,Croydon 003B,485223,490497,492056,489333,4,489277.25
E01001087,Croydon 003C,345747,380005,396423,391320,4,378373.75
E01001088,Croydon 004B,435000,428231,431833,407909,4,425743.25
E01001089,Croydon 004C,436667,424462,419600,420958,4,425421.75
E01001090,Croydon 004D,378798,352790,336400,306519,4,343626.75
E01001091,Croydon 004E,525735,510000,555909,570750,4,540598.5
E01001092,Croydon 037B,514580,488015,512500,484764,4,499964.75
E01001093,Croydon 037C,377046,358000,360608,395724,4,372844.5
E01001094,Croydon 038E,916332,940799,1079579,1066381,4,1000772.75
E01001095,Croydon 031D,359467,376764,369281,379271,4,371195.75
E01001096,Croydon 037D,542497,575615,620500,629789,4,592100.25
E01001097,Croydon 037E,314397,301431,281949,269679,4,291864
E01001098,Croydon 037F,593685,604047,673063,680548,4,637835.75
E01001099,Croydon 040D,366370,358932,343028,364844,4,358293.5
E01001100,Croydon 031E,404879,430657,460385,450447,4,436592
E01001101,Croydon 035B,639804,602455,609416,595590,4,611816.25
E01001102,Croydon 035C,573868,586289,568825,565563,4,573636.25
E01001103,Croydon 039A,557412,538142,569625,554306,4,554871.25
E01001104,Croydon 042D,530625,493761,459306,456122,4,484953.5
E01001105,Croydon 039B,426226,433631,428089,438529,4,431618.75
E01001106,Croydon 039C,443667,445615,447643,446286,4,445802.75
E01001107,Croydon 035D,580870,578400,576060,578130,4,578365
E01001108,Croydon 035E,693797,693287,650500,647913,4,671374.25
E01001109,Croydon 013B,330727,331310,355353,311860,4,332312.5
E01001110,Croydon 020D,248579,250026,253361,266166,4,254533
E01001111,Croydon 010D,331487,344912,348423,340300,1,1365122
E01001112,Croydon 013C,278156,307605,324854,319031,4,307411.5
E01001113,Croydon 013D,274095,279824,323398,327824,4,301285.25
E01001114,Croydon 013E,306250,282667,286208,279967,4,288773
E01001115,Croydon 015B,308900,331922,340819,325070,4,326677.75
E01001116,Croydon 013F,331053,331848,321225,319634,4,325940
E01001117,Croydon 015C,241250,244417,254125,267500,4,251823
E01001118,Croydon 020E,327511,300669,322943,321806,4,318232.25
E01001119,Croydon 034G,370031,405350,408711,411123,4,398803.75
E01001120,Croydon 033A,309284,377223,395661,393045,4,368803.25
E01001121,Croydon 039D,673412,684889,635714,635921,4,657484
E01001122,Croydon 033B,613750,608571,600625,621727,4,611168.25
E01001123,Croydon 033C,465789,462619,458545,456265,4,460804.5
E01001124,Croydon 033D,563833,578842,575112,553994,4,567945.25
E01001125,Croydon 033E,474231,493639,504633,527727,4,500057.5
E01001126,Croydon 034H,327323,328623,346497,360831,4,340818.5
E01001127,Croydon 025A,521156,524281,537389,530045,4,528217.75
E01001128,Croydon 025B,289167,344000,338167,349800,4,330283.5
E01001129,Croydon 026D,611000,568333,565880,566482,4,577923.75
E01001130,Croydon 025C,,273900,,,4,68475
E01001131,Croydon 018C,341707,354466,349266,341489,4,346732
E01001132,Croydon 018D,423711,445765,456800,471571,4,449461.75
E01001133,Croydon 026E,355740,362517,374361,389498,4,370529
E01001134,Croydon 018E,387118,386513,403404,406196,4,395807.75
E01001135,Croydon 025D,520554,530100,532569,561564,4,536196.75
E01001136,Croydon 007A,278833,284284,288256,295188,4,286640.25
E01001137,Croydon 001A,442548,386403,417550,445707,4,423052
E01001138,Croydon 001B,450804,468956,504178,463000,4,471734.5
E01001139,Croydon 007B,359943,367513,365855,394606,4,371979.25
E01001140,Croydon 007C,350167,354946,364984,380266,4,362590.75
E01001141,Croydon 008A,317167,341194,298321,296354,4,313259
E01001142,Croydon 007D,475239,483522,502250,445294,4,476576.25
E01001143,Croydon 008B,326007,322272,306021,322163,4,319115.75
E01001144,Croydon 007E,302070,309250,323259,323673,4,314563
E01001145,Croydon 008C,233609,230820,234694,220500,4,229905.75
E01001146,Croydon 006A,326344,348781,353353,365572,4,348512.5
E01001147,Croydon 005A,312500,314560,306685,304665,4,309602.5
E01001148,Croydon 005B,315611,328349,343775,342743,4,332619.5
E01001149,Croydon 006B,360988,378054,386807,380066,4,376478.75
E01001150,Croydon 006C,330878,338105,378545,408095,4,363905.75
E01001151,Croydon 005C,307147,310231,314538,297455,4,307342.75
